transaction_id,date_id,product_id,store_id,quantity_sold,unit_price,gross_amount,discount_percentage,discount_amount,net_amount,is_promotion,current_stock_level,reorder_point,units_to_stock,stockout_flag
T100075,2023-01-01,P1178,ST047,7.0,52.31,366.17,0,0.0,366.17,No,77.0,65,0,0
T100076,2023-01-01,P1117,ST030,5.0,20.49,102.45,0,0.0,102.45,No,217.0,43,0,0
T100077,2023-01-01,P1076,ST028,5.0,48.88,244.4,0,0.0,244.4,No,323.0,89,0,0
T100078,2023-01-01,P1014,ST008,2.0,675.22,1350.44,0,0.0,1350.44,No,326.0,25,0,0
T100079,2023-01-01,P1167,ST031,4.0,76.36420581134642,305.46,0,0.0,305.46,No,399.0,48,0,0
T100080,2023-01-01,P1121,ST046,5.0,275.42,1377.1,0,0.0,1377.1,No,198.0,28,0,0
T100081,2023-01-01,P1179,ST010,8.0,55.91,447.28,0,0.0,447.28,No,114.0,86,0,0
T100082,2023-01-01,P1075,ST013,2.0,51.51,103.02,10,10.3,92.72,Yes,437.0,86,0,0
T100083,2023-01-01,P1118,ST020,19.0,6.13,116.47,15,17.47,99.0,Yes,97.0,53,0,0
T100084,2023-01-01,P1183,ST035,5.0,58.04,290.2,0,0.0,290.2,No,99.0,39,0,0
T100085,2023-01-01,P1089,ST010,12.0,12.6,151.2,0,0.0,151.2,No,,88,31,0
T100086,2023-01-01,P1130,ST022,5.0,225.44,1127.2,0,0.0,1127.2,No,,93,0,0
T100087,2023-01-01,P1030,ST020,1.0,334.95,334.95,0,0.0,334.95,No,440.0,48,0,0
T100088,2023-01-01,P1022,ST035,2.0,1419.39,2838.78,0,0.0,2838.78,No,500.0,31,0,0
T100089,2023-01-01,P1095,ST025,10.0,43.55480358822026,435.55,0,0.0,435.55,No,167.0,77,0,0
T100090,2023-01-01,P1187,ST027,3.0,30.07,90.21,0,0.0,90.21,No,316.0,31,0,0
T100091,2023-01-01,P1105,ST041,9.0,12.18,109.62,0,0.0,109.62,No,294.0,79,0,0
T100092,2023-01-01,P1078,ST032,8.0,118.24,945.92,0,0.0,945.92,No,415.0,20,0,0
T100093,2023-01-01,P1008,ST008,2.0,1161.41,2322.82,0,0.0,2322.82,No,44.0,96,76,0
T100094,2023-01-01,P1188,ST037,528.0,38.2,38.2,0,0.0,38.2,No,93.0,94,14,0
T100095,2023-01-01,P1013,ST019,2.0,564.27,1128.54,0,0.0,1128.54,No,489.0,29,0,0
T100096,01/01/2023,P1070,ST044,6.0,131.29,787.74,25,196.94,590.8,Yes,190.0,38,0,0
T100097,2023-01-01,P1049,ST036,2.0,65.77,131.54,0,0.0,131.54,No,479.0,29,0,0
T100098,2023-01-02,P1088,ST012,10.0,21.19,211.9,5,10.6,201.3,Yes,123.0,36,0,0
T100099,2023-01-02,P1005,ST031,2.0,1466.39,,5,146.64,2786.14,Yes,26.0,85,89,0
T100100,2023-01-02,P1053,ST038,4.0,28.05,112.2,0,0.0,112.2,No,189.0,23,0,0
T100101,2023-01-02,P1130,ST037,2.0,225.44,,25,112.72,338.16,Yes,400.0,21,0,0
T100102,2023-01-02,P1182,ST031,6.0,63.39,380.34,0,0.0,380.34,No,104.0,76,0,0
T100103,2023-01-02,P1032,ST030,2.0,1089.61,2179.22,0,0.0,2179.22,No,263.0,66,0,0
T100104,2023-01-02,P1058,ST036,7.0,103.34,723.38,0,0.0,723.38,No,447.0,74,0,0
T100105,2023-01-02,P1102,ST029,17.0,13.3,226.1,0,0.0,226.1,No,53.0,35,10,0
T100106,2023-01-02,P1052,ST039,7.0,107.98,755.86,20,151.17,604.69,Yes,381.0,83,0,0
T100107,2023-01-02,P1104,ST032,17.0,14.5,246.5,0,0.0,246.5,No,403.0,78,0,0
T100108,2023-01-02,P1046,ST025,6.0,123.3,739.8,0,0.0,739.8,No,328.0,99,0,0
T100109,2023-01-02,P1139,ST022,1.0,127.91,127.91,0,0.0,127.91,No,26.0,75,59,0
T100110,2023-01-02,P1181,ST011,8.0,53.48,427.84,0,0.0,427.84,No,169.0,69,0,0
T100111,2023-01-02,P1015,ST026,5.0,884.6,4423.0,0,0.0,4423.0,No,203.0,98,0,0
T100112,2023-01-02,P1007,ST049,3.0,706.04,2118.12,0,0.0,2118.12,No,59.0,74,12,0
T100113,2023-01-02,P1079,ST008,6.0,117.86,707.16,0,0.0,707.16,No,,61,0,0
T100114,2023-01-02,P1097,ST037,13.0,25.87,336.31,0,0.0,336.31,No,60.0,82,52,0
T100115,2023-01-02,P1052,ST032,2.0,107.98,215.96,0,0.0,215.96,No,284.0,47,0,0
T100116,2023-01-02,P1152,ST022,5.0,72.57,362.85,25,90.71,272.14,Yes,253.0,74,0,0
T100117,2023-01-02,P1065,ST040,8.0,77.7,621.6,0,0.0,621.6,No,290.0,43,0,0
T100118,2023-01-02,P1164,ST035,7.0,52.72,369.04,0,0.0,369.04,No,382.0,100,0,0
T100119,2023-01-02,P1163,ST014,7.0,75.65,529.55,0,0.0,529.55,No,156.0,40,0,0
T100120,2023-01-02,P1112,ST028,2.0,11.27,22.54,0,0.0,22.54,No,149.0,37,0,0
T100121,2023-01-02,P1022,ST021,3.0,1419.39,4258.17,0,0.0,4258.17,No,42.0,72,55,0
T100122,2023-01-02,P1031,ST034,3.0,774.03,2322.09,0,0.0,2322.09,No,496.0,87,0,0
T100123,2023-01-02,P1109,ST014,5.0,29.05,145.25,10,14.52,130.73,Yes,150.0,76,0,0
T100124,2023-01-02,P1072,ST010,6.0,128.59,771.54,0,0.0,771.54,No,198.0,59,0,0
T100125,2023-01-02,P1065,ST036,7.0,77.7,,0,0.0,543.9,No,500.0,66,0,0
T100126,2023-01-02,P1078,ST006,4.0,118.24,472.96,0,0.0,472.96,No,450.0,40,0,0
T100127,2023-01-02,P1121,ST048,7.0,275.42,1927.94,0,0.0,1927.94,No,180.0,74,0,0
T100128,2023-01-02,P1117,ST045,1.0,20.49,20.49,0,0.0,20.49,No,338.0,43,0,0
T100129,2023-01-02,P1183,ST042,3.0,58.04,174.12,0,0.0,174.12,No,361.0,72,0,0
T100130,2023-01-02,P1022,ST027,2.0,1419.39,2838.78,0,0.0,2838.78,No,458.0,68,0,0
T100131,2023-01-02,P1051,ST017,3.0,65.28,195.84,25,48.96,146.88,Yes,229.0,96,0,0
T100132,2023-01-02,P1173,ST032,2.0,34.02,68.04,0,0.0,68.04,No,114.0,44,0,0
T100133,2023-01-02,P1187,ST044,4.0,30.07,120.28,0,0.0,120.28,No,219.0,38,0,0
T100134,2023-01-02,P1035,ST021,3.0,1414.7,4244.1,0,0.0,4244.1,No,118.0,69,0,0
T100135,2023-01-02,P1172,ST039,1.0,54.45,54.45,25,13.61,40.84,Yes,327.0,68,0,0
T100136,2023-01-02,P1120,ST009,3.0,11.99,35.97,0,0.0,35.97,No,281.0,75,0,0
T100137,2023-01-02,P1068,ST040,5.0,39.32,196.6,0,0.0,196.6,No,233.0,41,0,0
T100138,2023-01-02,P1014,ST015,1.0,675.22,675.22,15,101.28,573.94,Yes,93.0,79,0,0
T100139,2023-01-02,P1032,ST023,2.0,1089.61,2179.22,0,0.0,2179.22,No,,43,0,0
T100140,2023-01-02,P1047,ST027,2.0,25.21,50.42,0,0.0,50.42,No,265.0,32,0,0
T100141,2023-01-02,P1008,ST006,,1161.41,2322.82,0,0.0,2322.82,No,347.0,81,0,0
T100142,2023-01-02,P1034,ST014,1.0,1292.18,1292.18,0,0.0,1292.18,No,154.0,61,0,0
T100143,2023-01-02,P1023,ST002,1.0,692.87,692.87,0,0.0,692.87,No,409.0,71,0,0
T100144,2023-01-02,P1034,ST023,3.0,1292.18,3876.54,15,581.48,3295.06,Yes,272.0,45,0,0
T100145,2023-01-02,P1162,ST028,2.0,42.32,84.64,15,12.7,71.94,Yes,247.0,48,0,0
T100146,2023-01-02,P1077,ST010,3.0,61.78,185.34,0,0.0,185.34,No,163.0,51,0,0
T100147,01/02/2023,P1065,ST023,5.0,77.7,388.5,0,0.0,388.5,No,403.0,84,0,0
T100148,2023-01-02,P1151,ST047,8.0,137.99,1103.92,0,0.0,1103.92,No,240.0,99,0,0
T100149,2023-01-02,P1112,ST035,626.0,11.27,11.27,5,0.56,10.71,Yes,16.0,41,55,0
T100150,2023-01-02,P1093,ST045,752.0,24.01,312.13,0,0.0,312.13,No,54.0,36,0,0
T100151,2023-01-02,P1112,ST041,18.0,11.27,202.86,0,0.0,202.86,No,,79,0,0
T100152,2023-01-02,p1150,ST016,4.0,130.8,523.2,0,0.0,523.2,No,434.0,70,0,0
T100153,2023-01-02,P1075,ST003,8.0,51.51,412.08,0,0.0,,No,272.0,95,0,0
T100154,2023-01-02,P1017,ST018,7.0,634.39,4440.73,0,0.0,4440.73,No,69.0,83,43,0
T100155,2023-01-02,P1057,ST038,6.0,80.74,484.44,0,0.0,484.44,No,446.0,79,0,0
T100156,2023-01-02,P1160,ST014,5.0,88.74,443.7,0,0.0,443.7,No,54.0,81,25,0
T100157,2023-01-02,P1005,ST023,2.0,1466.39,2932.78,0,0.0,2932.78,No,91.0,42,0,0
T100158,2023-01-02,P1088,ST023,2.0,21.19,42.38,0,0.0,42.38,No,295.0,54,0,0
T100159,2023-01-02,P1028,ST040,3.0,487.37,1462.11,0,0.0,1462.11,No,495.0,33,0,0
T100160,2023-01-02,P1196,ST033,8.0,42.79,342.32,0,0.0,342.32,No,60.0,39,7,0
T100161,2023-01-02,P1088,ST019,17.0,21.19,360.23,0,0.0,360.23,No,146.0,67,0,0
T100162,2023-01-02,P1106,ST027,15.0,5.72,85.8,0,0.0,85.8,No,274.0,66,0,0
T100163,2023-01-02,P1112,ST004,13.0,11.27,146.51,0,0.0,146.51,No,348.0,39,0,0
T100164,2023-01-02,P1078,ST047,6.0,118.24,709.44,0,0.0,709.44,No,14.0,55,65,0
T100165,2023-01-02,P1179,ST023,7.0,55.91,391.37,0,0.0,391.37,No,461.0,58,0,0
T100166,2023-01-02,P1142,ST020,6.0,101.11,606.66,0,0.0,606.66,No,91.0,22,0,0
T100167,2023-01-02,P1096,st017,17.0,15.2,258.4,0,0.0,258.4,No,34.0,35,48,0
T100168,2023-01-02,P1171,ST035,4.0,68.89,275.56,0,0.0,275.56,No,155.0,93,0,0
T100169,2023-01-02,P1038,ST046,2.0,389.84,779.68,0,0.0,779.68,No,51.0,31,0,0
T100170,2023-01-02,P1068,ST038,8.0,39.32,314.56,0,0.0,314.56,No,235.0,82,0,0
T100171,2023-01-02,P1031,ST045,1.0,774.03,774.03,0,0.0,774.03,No,,40,14,0
T100172,2023-01-02,P1031,ST024,2.0,774.03,1548.06,0,0.0,1548.06,No,165.0,57,0,0
T100173,2023-01-02,P1001,ST008,6.0,1049.28,6295.68,5,314.78,5980.9,Yes,223.0,81,0,0
T100174,2023-01-02,P1163,ST030,8.0,75.65,605.2,0,0.0,605.2,No,86.0,61,1,0
T100175,2023-01-02,P1189,ST018,2.0,20.56,41.12,0,0.0,41.12,No,372.0,23,0,0
T100176,2023-01-03,P1014,ST037,3.0,,2025.66,0,0.0,2025.66,No,253.0,84,0,0
T100177,2023-01-03,P1114,ST006,18.0,29.29,527.22,0,0.0,527.22,No,215.0,95,0,0
T100178,2023-01-03,P1026,ST035,1.0,268.45,268.45,0,0.0,268.45,No,103.0,52,0,0
T100179,2023-01-03,P1100,ST007,11.0,9.72,106.92,15,16.04,90.88,Yes,142.0,68,0,0
T100180,2023-01-03,P1069,ST004,6.0,71.91,431.46,0,0.0,431.46,No,218.0,28,0,0
T100181,2023-01-03,P1167,ST009,7.0,37.41515577690383,261.91,0,0.0,261.91,No,443.0,84,0,0
T100182,2023-01-03,P1011,ST001,2.0,1183.77,2367.54,0,0.0,2367.54,No,327.0,57,0,0
T100183,2023-01-03,P1055,ST038,5.0,111.99,559.95,30,167.98,391.97,Yes,283.0,92,0,0
T100184,2023-01-03,P1082,ST044,11.0,16.73,184.03,0,0.0,184.03,No,395.0,77,0,0
T100185,2023-01-03,P1156,ST031,1.0,73.63,73.63,0,0.0,73.63,No,354.0,42,0,0
T100186,2023-01-03,P1172,ST029,2.0,54.45,,0,0.0,108.9,No,426.0,68,0,0
T100187,2023-01-03,P1003,ST015,3.0,597.74,1793.22,15,268.98,1524.24,Yes,,65,0,0
T100188,2023-01-03,P1181,ST046,4.0,53.48,213.92,30,64.18,149.74,Yes,212.0,34,0,0
T100189,2023-01-03,P1151,ST009,2.0,,275.98,25,69.0,206.98,Yes,448.0,49,0,0
T100190,2023-01-03,P1117,ST001,14.0,20.49,286.86,0,0.0,286.86,No,492.0,26,0,0
T100191,2023-01-03,p1185,ST015,1.0,30.01,30.01,0,0.0,30.01,No,225.0,88,0,0
T100192,2023-01-03,P1020,ST016,4.0,401.26,1605.04,0,0.0,1605.04,No,169.0,28,0,0
T100193,2023-01-03,P1122,ST016,6.0,209.87,1259.22,0,0.0,1259.22,No,430.0,62,0,0
T100194,2023-01-03,P1009,ST025,2.0,1220.0,2440.0,0,0.0,2440.0,No,365.0,28,0,0
T100195,2023-01-03,P1076,ST025,7.0,48.88,342.16,20,68.43,273.73,Yes,129.0,96,0,0
T100196,01/03/2023,P1117,ST034,11.0,20.49,225.39,0,0.0,225.39,No,65.0,33,0,0
T100197,2023-01-03,P1186,ST040,8.0,56.25,450.0,0,0.0,450.0,No,80.0,25,0,0
T100198,2023-01-03,P1121,ST020,6.0,275.42,1652.52,0,0.0,1652.52,No,14.0,86,80,0
T100199,2023-01-03,P1164,ST013,2.0,52.72,105.44,0,0.0,105.44,No,351.0,80,0,0
T100200,2023-01-03,P1027,ST030,1.0,252.69,252.69,0,0.0,252.69,No,481.0,20,0,0
T100201,01/03/2023,P1053,ST026,3.0,28.05,84.15,0,0.0,84.15,No,13.0,66,47,0
T100202,2023-01-03,P1051,ST013,5.0,,326.4,0,0.0,326.4,No,,53,0,0
T100203,2023-01-03,P1098,ST042,4.0,24.75,99.0,0,0.0,99.0,No,117.0,59,0,0
T100204,2023-01-03,P1031,ST010,1.0,774.03,774.03,0,0.0,774.03,No,108.0,88,5,0
T100205,2023-01-03,P1076,ST010,6.0,48.88,293.28,0,0.0,293.28,No,332.0,55,0,0
T100206,2023-01-03,P1043,ST033,7.0,52.8,369.6,0,0.0,369.6,No,340.0,85,0,0
T100207,2023-01-03,P1103,ST041,19.0,6.87,130.53,0,0.0,130.53,No,116.0,48,0,0
T100208,2023-01-03,P1141,ST006,3.0,120.81,362.43,0,0.0,362.43,No,161.0,76,0,0
T100209,2023-01-03,P1082,ST018,13.0,16.73,217.49,20,43.5,173.99,Yes,129.0,53,0,0
T100210,2023-01-03,P1031,ST005,2.0,774.03,1548.06,10,154.81,1393.25,Yes,180.0,45,0,0
T100211,2023-01-03,P1067,ST001,,39.3,196.5,0,0.0,196.5,No,187.0,71,0,0
T100212,2023-01-03,P1059,ST047,4.0,72.88,291.52,0,0.0,291.52,No,274.0,95,0,0
T100213,2023-01-03,P1054,ST029,8.0,86.8,694.4,0,0.0,694.4,No,25.0,67,67,0
T100214,2023-01-03,P1176,ST049,7.0,89.18,624.26,0,0.0,624.26,No,363.0,88,0,0
T100215,2023-01-03,P1156,ST037,7.0,73.63,515.41,0,0.0,515.41,No,114.0,70,0,0
T100216,2023-01-03,P1046,ST003,8.0,123.3,986.4,10,98.64,887.76,Yes,45.0,69,48,0
T100217,2023-01-03,P1101,ST011,4.0,25.29,101.16,20,20.23,80.93,Yes,254.0,28,0,0
T100218,2023-01-03,p1080,ST038,4.0,90.58,362.32,0,0.0,362.32,No,360.0,78,0,0
T100219,2023-01-03,P1118,ST030,19.0,6.13,116.47,5,5.82,110.65,Yes,157.0,78,0,0
T100220,2023-01-03,P1188,ST028,8.0,38.2,305.6,0,0.0,305.6,No,347.0,43,0,0
T100221,2023-01-03,P1179,ST047,4.0,55.91,223.64,0,0.0,223.64,No,220.0,90,0,0
T100222,2023-01-03,P1119,ST002,3.0,,67.23,0,0.0,67.23,No,355.0,79,0,0
T100223,2023-01-03,P1125,ST030,2.0,,494.22,30,148.27,345.95,Yes,134.0,76,0,0
T100224,2023-01-03,P1044,ST005,1.0,74.81,74.81,0,0.0,74.81,No,88.0,76,0,0
T100225,2023-01-03,P1100,ST045,10.0,9.72,97.2,0,0.0,,No,,20,0,0
T100226,2023-01-03,P1087,ST013,3.0,12.2,36.6,0,0.0,36.6,No,461.0,32,0,0
T100227,2023-01-03,P1160,ST014,7.0,88.74,621.18,0,0.0,621.18,No,71.0,49,0,0
T100228,2023-01-03,P1167,ST040,2.0,43.208196490664065,86.42,0,0.0,86.42,No,220.0,58,0,0
T100229,2023-01-03,P1154,ST021,7.0,295.6,2069.2,0,0.0,2069.2,No,404.0,37,0,0
T100230,2023-01-03,P1115,ST025,17.0,7.88,133.96,0,0.0,133.96,No,129.0,84,1,0
T100231,2023-01-03,P1021,ST004,1.0,1038.88,1038.88,0,0.0,1038.88,No,161.0,45,0,0
T100232,2023-01-03,P1082,ST042,2.0,16.73,33.46,0,0.0,33.46,No,222.0,56,0,0
T100233,2023-01-03,P1156,ST025,6.0,73.63,441.78,0,0.0,441.78,No,332.0,20,0,0
T100234,2023-01-03,P1053,ST016,2.0,28.05,56.1,0,0.0,56.1,No,249.0,59,0,0
T100235,2023-01-03,P1021,ST024,2.0,1038.88,2077.76,0,0.0,2077.76,No,251.0,76,0,0
T100236,2023-01-03,P1195,ST020,3.0,26.86,80.58,0,0.0,80.58,No,99.0,52,0,0
T100237,2023-01-03,P1002,ST001,6.0,287.25,1723.5,0,0.0,1723.5,No,,73,0,0
T100238,2023-01-03,P1099,ST037,6.0,21.5,129.0,0,0.0,129.0,No,233.0,52,0,0
T100239,2023-01-03,P1189,ST016,4.0,20.56,82.24,0,0.0,82.24,No,481.0,66,0,0
T100240,2023-01-03,P1149,ST043,3.0,239.79,719.37,5,35.97,683.4,Yes,339.0,69,0,0
T100241,2023-01-03,P1129,ST035,7.0,196.34,1374.38,0,0.0,1374.38,No,385.0,72,0,0
T100242,01/03/2023,P1192,ST026,5.0,55.01,275.05,10,27.5,247.55,Yes,427.0,82,0,0
T100243,2023-01-03,P1051,ST032,3.0,65.28,195.84,0,0.0,195.84,No,66.0,77,32,0
T100244,2023-01-03,P1161,ST040,2.0,40.26,80.52,0,0.0,80.52,No,95.0,30,0,0
T100245,2023-01-03,P1069,st049,1.0,71.91,71.91,0,0.0,71.91,No,414.0,25,0,0
T100246,2023-01-03,P1155,ST028,6.0,143.21,859.26,0,0.0,859.26,No,465.0,63,0,0
T100247,2023-01-03,P1001,ST030,7.0,1049.28,7344.96,0,0.0,7344.96,No,464.0,37,0,0
T100248,01/03/2023,P1132,ST027,4.0,88.16,352.64,30,105.79,246.85,Yes,500.0,61,0,0
T100249,2023-01-03,P1021,ST023,2.0,1038.88,2077.76,0,0.0,2077.76,No,492.0,80,0,0
T100250,2023-01-03,P1184,ST033,1.0,44.02,44.02,5,2.2,41.82,Yes,164.0,90,0,0
T100251,2023-01-03,P1028,ST028,3.0,487.37,1462.11,15,219.32,1242.79,Yes,472.0,69,0,0
T100252,2023-01-03,P1024,ST045,2.0,1160.27,2320.54,0,0.0,2320.54,No,487.0,93,0,0
T100253,2023-01-03,P1112,ST015,8.0,11.27,90.16,0,0.0,90.16,No,158.0,31,0,0
T100254,2023-01-04,P1189,ST001,5.0,20.56,102.8,25,25.7,77.1,Yes,107.0,69,0,0
T100255,2023-01-04,P1003,ST035,2.0,597.74,1195.48,0,0.0,1195.48,No,427.0,57,0,0
T100256,2023-01-04,P1082,ST020,17.0,16.73,284.41,0,0.0,284.41,No,73.0,55,10,0
T100257,2023-01-04,P1040,ST046,1.0,378.49,378.49,0,0.0,378.49,No,488.0,48,0,0
