product_id,product_name,category,subcategory,unit_price,cost_price,supplier_id,shelf_life_days,weight_kg,is_perishable
P1068,Accessories Item 4,Clothing,Accessories,39.32,16.03,S110,,13.63,No
P1069,Accessories Item 5,Clothing,Accessories,71.91,46.68,S108,,11.61,No
P1070,Accessories Item 6,Clothing,Accessories,131.29,83.34,S112,,9.96,No
P1071,Accessories Item 7,Clothing,,33.62,18.39,S114,,9.57,No
P1072,Accessories Item 8,Clothing,Accessories,128.59,88.68,S109,,13.8,No
P1073,Footwear Item 1,Clothing,Footwear,121.83,60.51,S108,,1.39,No
P1074,Footwear Item 2,clothing,Footwear,135.2,67.72,S116,,2.81,No
P1075,Footwear Item 3,Clothing,Footwear,51.51,31.44,S109,,7.8,No
P1076,Footwear Item 4,clothing,Footwear,48.88,29.68,S116,,0.36,No
P1077,Footwear Item 5,Clothing,Footwear,61.78,31.55,S118,,6.44,No
P1078,Footwear Item 6,Clothing,Footwear,118.24,56.21,S104,,4.8,No
P1079,Footwear Item 7,Clothing,Footwear,117.86,73.26,S109,,14.65,No
P1080,Footwear Item 8,Clothing,Footwear,90.58,46.04,S110,,,No
P1081,Dairy Item 1,Groceries,Dairy,18.35,8.04,S116,7.0,8.65,Yes
P1082,Dairy Item 2,Groceries,Dairy,16.73,11.42,S116,7.0,6.07,Yes
P1083,Dairy Item 3,Groceries,Dairy,6.85,3.9,S110,7.0,1.86,Yes
P1084,Dairy Item 4,Groceries,Dairy,24.11,13.42,S115,730.0,8.87,Yes
P1085,Dairy Item 5,Groceries,Dairy,15.72,6.76,S107,30.0,1.31,Yes
P1086,Dairy Item 6,Groceries,Dairy,11.0,6.67,S116,90.0,,Yes
P1087,Dairy Item 7,groceries,Dairy,12.2,5.85,S119,30.0,8.21,Yes
P1088,Dairy Item 8,Groceries,Dairy,21.19,9.53,S110,90.0,7.08,Yes
P1089,Beverages Item 1,Groceries,Beverages,12.6,6.69,S120,,11.04,Yes
P1090,Beverages Item 2,Grocereis,Beverages,20.09,11.5,S101,90.0,11.47,Yes
P1091,Beverages Item 3,Groceries,Beverages,9.38,6.56,S114,730.0,7.1,Yes
P1092,Beverages Item 4,Groceries,Beverages,15.21,7.96,S116,90.0,6.07,Yes
P1093,Beverages Item 5,Groceries,Beverages,24.01,16.59,S113,,8.18,Yes
P1094,Beverages Item 6,GROCERIES,Beverages,15.33,8.16,S102,30.0,2.05,Yes
P1095,Beverages Item 7,Groceries,Beverages,,7.19,S108,14.0,0.3,Yes
P1096,Beverages Item 8,Groceries,Beverages,15.2,9.87,S116,90.0,4.17,Yes
P1097,Snacks Item 1,Groceries,Snacks,25.87,13.33,S120,14.0,4.22,Yes
P1098,Snacks Item 2,Groceries,Snacks,24.75,15.99,S110,90.0,8.74,Yes
P1099,Snacks Item 3,Groceries,Snacks,21.5,10.74,S118,365.0,4.89,Yes
P1100,Snacks Item 4,Groceries,Snacks,9.72,6.15,S102,180.0,10.61,Yes
P1101,Snacks Item 5,Groceries,Snacks,25.29,17.56,S116,,14.48,Yes
P1102,Snacks Item 6,groceries,Snacks,13.3,5.38,S105,365.0,14.55,Yes
P1103,Snacks Item 7,Groceries,Snacks,6.87,3.57,S103,180.0,12.9,Yes
P1104,Snacks Item 8,Groceries,Snacks,14.5,9.59,S102,7.0,10.3,Yes
P1105,Frozen Item 1,Groceries,Frozen,12.18,7.19,S104,730.0,4.56,Yes
P1106,Frozen Item 2,Groceries,Frozen,5.72,3.03,S108,365.0,11.91,Yes
P1107,Frozen Item 3,groceries,Frozen,9.25,6.23,S105,30.0,3.88,Yes
P1108,Frozen Item 4,groceries,Frozen,11.38,5.09,S115,180.0,4.56,Yes
P1109,Frozen Item 5,Groceries,Frozen,29.05,20.33,S116,7.0,8.62,Yes
P1110,Frozen Item 6,Groceries,Frozen,19.37,11.57,S109,,10.32,Yes
P1111,Frozen Item 7,Grocery,Frozen,23.62,15.85,S108,180.0,2.93,Yes
P1112,Frozen Item 8,Groceries,Frozen,11.27,4.97,S104,,6.67,Yes
P1113,Fresh Produce Item 1,Groceries,Fresh Produce,19.49,12.17,S106,30.0,8.14,Yes
P1114,Fresh Produce Item 2,Groceries,Fresh Produce,29.29,13.97,S116,90.0,5.15,Yes
P1115,Fresh Produce Item 3,Groceries,Fresh Produce,7.88,5.19,S113,180.0,5.98,Yes
P1116,Fresh Produce Item 4,GROCERIES,Fresh Produce,11.61,6.68,S112,7.0,7.13,Yes
P1117,Fresh Produce Item 5,Groceries,Fresh Produce,20.49,12.18,S115,90.0,1.84,Yes
P1118,Fresh Produce Item 6,groceries,Fresh Produce,6.13,3.44,S113,730.0,14.25,Yes
P1119,Fresh Produce Item 7,Groceries,Fresh Produce,22.41,14.92,S104,730.0,14.09,Yes
P1120,Fresh Produce Item 8,Groceries,Fresh Produce,11.99,5.65,S112,7.0,5.57,Yes
P1121,Appliances Item 1,Home & Kitchen,Appliances,275.42,190.17,S115,,3.26,No
P1122,Appliances Item 2,Home & Kitchen,Appliances,209.87,146.21,S119,,12.46,No
P1123,Appliances Item 3,Home & Kitchen,Appliances,188.55,119.22,S120,,,No
P1124,Appliances Item 4,Home and Kitchen,Appliances,264.6,114.57,S101,,5.44,No
P1125,Appliances Item 5,Home & Kitchen,,247.11,108.24,S114,,11.21,No
P1126,Appliances Item 6,Home & Kitchen,Appliances,169.06,93.18,S120,,,No
P1127,Appliances Item 7,Home & Kitchen,Appliances,245.81,169.41,S102,,12.72,No
P1128,Appliances Item 8,home & kitchen,Appliances,156.57,91.2,S103,,9.4,No
P1129,Cookware Item 1,Home & Kitchen,Cookware,196.34,95.91,S117,,1.58,No
P1130,Cookware Item 2,Home & Kitchen,Cookware,225.44,138.93,S107,,13.33,No
P1131,Cookware Item 3,Home & Kitchen,Cookware,153.45,75.77,S111,,5.68,No
P1132,Cookware Item 4,Home & Kitchen,Cookware,88.16,37.73,S104,,5.65,No
P1133,Cookware Item 5,Home&Kitchen,Cookware,82.53,43.18,S114,,10.84,No
P1134,Cookware Item 6,Home & Kitchen,Cookware,292.1,135.48,S116,,1.71,No
P1135,Cookware Item 7,Home & Kitchen,Cookware,261.34,167.82,S118,,12.29,No
P1136,Cookware Item 8,Home & Kitchen,,203.39,131.97,S109,,,No
P1137,Furniture Item 1,Home & Kitchen,Furniture,118.32,53.77,S105,,6.07,No
P1138,Furniture Item 2,Home & Kitchen,,85.47,39.7,S114,,2.45,No
P1139,Furniture Item 3,Home & Kitchen,Furniture,127.91,85.06,S105,,9.31,No
P1140,Furniture Item 4,home & kitchen,Furniture,218.49,105.3,S117,,6.51,No
P1141,Furniture Item 5,Home & Kitchen,Furniture,120.81,49.97,S113,,0.92,No
P1142,Furniture Item 6,Home & Kitchen,Furniture,101.11,49.22,S104,,,No
P1143,Furniture Item 7,home & kitchen,Furniture,236.75,134.38,S112,,,No
P1144,Furniture Item 8,Home & Kitchen,Furniture,265.44,131.11,S114,,10.67,No
P1145,Decor Item 1,Home & Kitchen,Decor,154.42,105.67,S115,,13.8,No
P1146,Decor Item 2,Home & Kitchen,Decor,72.03,40.13,S113,,11.21,No
P1147,Decor Item 3,Home & Kitchen,Decor,105.39,58.93,S107,,5.31,No
P1148,Decor Item 4,Home & Kitchen,Decor,231.84,102.92,S107,,2.38,No
P1149,Decor Item 5,home & kitchen,Decor,239.79,137.6,S119,,14.8,No
P1150,Decor Item 6,Home & Kitchen,Decor,130.8,70.72,S110,,8.91,No
P1151,Decor Item 7,home & kitchen,Decor,137.99,89.63,S103,,14.66,No
P1152,Decor Item 8,Home & Kitchen,Decor,72.57,49.8,S102,,12.17,No
P1153,Storage Item 1,Home & Kitchen,Storage,212.96,89.14,S104,,12.58,No
P1154,Storage Item 2,Home and Kitchen,,295.6,206.12,S117,,2.47,No
P1155,Storage Item 3,home & kitchen,Storage,143.21,59.53,S111,,,No
P1156,Storage Item 4,Home & Kitchen,Storage,73.63,43.95,S120,,5.07,No
P1157,Storage Item 5,HOME & KITCHEN,Storage,195.68,117.14,S105,,14.08,No
P1158,Storage Item 6,Home & Kitchen,Storage,127.4,76.57,S117,,10.09,No
P1159,Storage Item 7,HOME & KITCHEN,Storage,177.12,121.2,S116,,15.0,No
P1160,Storage Item 8,Home & Kitchen,Storage,88.74,55.16,S117,,,No
P1161,Skincare Item 1,Beauty,Skincare,40.26,18.06,S120,14.0,0.75,No
P1162,Skincare Item 2,Beauty,Skincare,42.32,26.48,S115,30.0,4.71,No
P1163,Skincare Item 3,Beauty,Skincare,75.65,51.76,S115,730.0,11.69,No
P1164,Skincare Item 4,Beauty,Skincare,52.72,30.65,S109,,13.12,No
P1165,Skincare Item 5,Beauti,Skincare,56.59,35.59,S109,730.0,2.3,No
P1166,Skincare Item 6,Beauty,Skincare,47.81,24.14,S101,365.0,,No
P1167,Skincare Item 7,Beauty,Skincare,,35.76,S111,14.0,4.37,No
P1168,Skincare Item 8,Beauty,Skincare,77.23,41.29,S101,7.0,,No
P1169,Haircare Item 1,Beauti,Haircare,31.17,15.16,S110,7.0,,No
P1170,Haircare Item 2,Beauty,Haircare,46.49,31.22,S120,,8.67,No
P1171,Haircare Item 3,Beauty,Haircare,68.89,36.17,S103,180.0,,No
P1172,Haircare Item 4,Beauty,Haircare,54.45,28.16,S116,,14.72,No
P1173,Haircare Item 5,Beauty,Haircare,34.02,20.02,S119,180.0,5.35,No
P1174,Haircare Item 6,Beauty,Haircare,40.39,28.04,S116,14.0,1.04,No
P1175,Haircare Item 7,Beauty,Haircare,73.21,33.66,S102,180.0,7.78,No
P1176,Haircare Item 8,Beauty,Haircare,89.18,40.78,S112,,5.05,No
P1177,Makeup Item 1,Beauty,Makeup,24.34,16.27,S113,180.0,7.49,No
P1178,Makeup Item 2,Beauty,Makeup,52.31,32.33,S103,365.0,12.35,No
P1179,Makeup Item 3,Beauty,Makeup,55.91,27.5,S120,365.0,6.71,No
P1180,Makeup Item 4,Beauty,Makeup,48.53,25.74,S102,7.0,6.15,No
P1181,Makeup Item 5,Beauty,Makeup,53.48,35.01,S115,,3.62,No
P1182,Makeup Item 6,Beauty,Makeup,63.39,28.27,S115,180.0,11.47,No
P1183,Makeup Item 7,Beauty,Makeup,58.04,27.56,S104,,7.54,No
P1184,Makeup Item 8,Beauty,Makeup,44.02,23.5,S120,90.0,14.98,No
P1185,Fragrances Item 1,Beauty,Fragrances,30.01,16.01,S103,180.0,10.67,No
P1186,Fragrances Item 2,BEAUTY,Fragrances,56.25,38.15,S106,180.0,1.91,No
P1187,Fragrances Item 3,beauty,,30.07,15.36,S118,14.0,1.38,No
P1188,Fragrances Item 4,Beauty,Fragrances,38.2,24.09,S119,7.0,4.82,No
P1189,Fragrances Item 5,Beauty,Fragrances,20.56,13.34,S118,14.0,2.02,No
P1190,Fragrances Item 6,Beauty,Fragrances,52.71,25.89,S106,180.0,3.46,No
P1191,Fragrances Item 7,Beauty,Fragrances,86.06,39.49,S118,90.0,4.61,No
P1192,Fragrances Item 8,Beauty,Fragrances,55.01,24.55,S120,180.0,8.5,No
P1193,Personal Care Item 1,Beauty,Personal Care,76.89,36.86,S107,365.0,0.55,No
P1194,Personal Care Item 2,Beauty,Personal Care,81.67,38.67,S113,90.0,10.36,No
P1195,Personal Care Item 3,Beauty,Personal Care,26.86,11.9,S111,180.0,2.05,No
P1196,Personal Care Item 4,Beauty,Personal Care,42.79,20.55,S108,14.0,4.42,No
P1197,Personal Care Item 5,Beauty,Personal Care,43.81,19.62,S111,180.0,2.47,No
P1198,Personal Care Item 6,Beauty,Personal Care,89.7,38.3,S113,730.0,3.31,No
P1199,Personal Care Item 7,beauty,Personal Care,41.47,24.95,S110,,6.52,No
P1200,Personal Care Item 8,Beauty,Personal Care,81.18,42.23,S119,30.0,4.4,No
P1096,Beverages Item 8,Groceries,Beverages,15.2,9.87,S116,90.0,4.17,Yes
P1016,Laptops Item 8,Electronics,,1223.28,496.46,S112,,12.49,No
P1031,Accessories Item 7,Electronics,Accessories,774.03,357.04,S111,,6.0,No
P1159,Storage Item 7,HOME & KITCHEN,Storage,177.12,121.2,S116,,15.0,No
P1129,Cookware Item 1,Home & Kitchen,Cookware,196.34,95.91,S117,,1.58,No
P1116,Fresh Produce Item 4,GROCERIES,Fresh Produce,11.61,6.68,S112,7.0,7.13,Yes
P1070,Accessories Item 6,Clothing,Accessories,131.29,83.34,S112,,9.96,No
P1171,Haircare Item 3,Beauty,Haircare,68.89,36.17,S103,180.0,,No
P1175,Haircare Item 7,Beauty,Haircare,73.21,33.66,S102,180.0,7.78,No
P1046,Men Item 6,Clothing,Men,123.3,82.59,S107,,10.66,No
